Symbol,Timestamp,Open,High,Low,Close,Volume,VWAP
GOOGL,2023-01-06 05:00:00 UTC,86.79,87.69,84.86,87.34,46119929,86.565664
GOOGL,2023-01-09 05:00:00 UTC,88.36,90.05,87.86,88.02,32452249,88.851738
GOOGL,2023-01-10 05:00:00 UTC,85.98,88.67,85.83,88.42,34301160,87.84638
GOOGL,2023-01-11 05:00:00 UTC,89.18,91.6,89.01,91.52,30560593,90.74926
GOOGL,2023-01-12 05:00:00 UTC,91.48,91.87,89.75,91.13,33012280,91.14674
GOOGL,2023-01-13 05:00:00 UTC,90.85,92.19,90.1299,92.12,29632844,91.478605
GOOGL,2023-01-17 05:00:00 UTC,92.06,92.25,90.05,91.29,37203557,91.231891
GOOGL,2023-01-18 05:00:00 UTC,92.14,92.7999,90.64,91.12,32654449,91.445794
GOOGL,2023-01-19 05:00:00 UTC,90.72,93.605,90.63,93.05,40555189,92.655696
GOOGL,2023-01-20 05:00:00 UTC,95.1,98.3,95.02,98.02,70017168,97.092606
GOOGL,2023-01-23 05:00:00 UTC,97.95,100.04,97.5,99.79,43386638,99.349359
GOOGL,2023-01-24 05:00:00 UTC,98.1,99.61,97.2,97.7,35872983,98.251609
GOOGL,2023-01-25 05:00:00 UTC,95.57,96.162,93.76,95.22,45502512,94.778589
GOOGL,2023-01-26 05:00:00 UTC,96.5,97.57,95.38,97.52,33009603,96.89863
GOOGL,2023-01-27 05:00:00 UTC,97.31,100.32,97.31,99.37,37084693,99.235757
GOOGL,2023-01-30 05:00:00 UTC,97.48,98.29,96.395,96.94,30070709,97.18376
GOOGL,2023-01-31 05:00:00 UTC,96.87,98.88,96.82,98.84,34905143,98.242729
GOOGL,2023-02-01 05:00:00 UTC,98.71,101.19,97.58,100.43,38935955,99.321918
GOOGL,2023-02-02 05:00:00 UTC,105.8,107.85,105.61,107.74,70957859,106.84119
GOOGL,2023-02-03 05:00:00 UTC,102.93,107.81,102.58,104.78,68909400,105.263887
GOOGL,2023-02-06 05:00:00 UTC,102.4,104.36,101.88,102.9,34999236,102.984748
GOOGL,2023-02-07 05:00:00 UTC,103.22,108.18,103.12,107.64,53112133,105.799967
GOOGL,2023-02-08 05:00:00 UTC,102.05,103.14,98.035,99.37,100117678,99.775361
GOOGL,2023-02-09 05:00:00 UTC,100,100.03,93.63,95.01,123637886,95.224229
GOOGL,2023-02-10 05:00:00 UTC,95.45,96.75,94.25,94.57,58977388,95.013289
GOOGL,2023-02-13 05:00:00 UTC,94.74,95.2,93.84,94.61,54895997,94.500618
GOOGL,2023-02-14 05:00:00 UTC,94.43,94.845,92.26,94.68,58063956,93.817744
GOOGL,2023-02-15 05:00:00 UTC,94.49,97.12,94.15,96.94,53831053,96.085784
GOOGL,2023-02-16 05:00:00 UTC,95.37,97.68,94.74,95.51,46279209,96.257195
GOOGL,2023-02-17 05:00:00 UTC,94.85,95.5599,93.21,94.35,38612654,94.143014
GOOGL,2023-02-21 05:00:00 UTC,93,93.1,91.72,91.79,37656607,92.167619
GOOGL,2023-02-22 05:00:00 UTC,91.7,92.11,90.61,91.65,35422239,91.620302
GOOGL,2023-02-23 05:00:00 UTC,91.92,91.94,89.76,90.89,44335479,90.721221
GOOGL,2023-02-24 05:00:00 UTC,89.44,89.89,88.575,89.13,40718307,89.08041
GOOGL,2023-02-27 05:00:00 UTC,89.87,90.16,89.335,89.87,29236836,89.770614
GOOGL,2023-02-28 05:00:00 UTC,89.33,91.23,89.32,90.06,34135416,90.310677
GOOGL,2023-03-01 05:00:00 UTC,89.98,91.03,89.67,90.36,34280313,90.341092
GOOGL,2023-03-02 05:00:00 UTC,89.66,92.275,89.59,92,35075975,91.074134
GOOGL,2023-03-03 05:00:00 UTC,92.48,93.73,92.45,93.65,38493995,93.387192
GOOGL,2023-03-06 05:00:00 UTC,94.015,95.97,94,95.13,35170260,95.184337
GOOGL,2023-03-07 05:00:00 UTC,94.98,95.67,93.53,93.86,30430742,94.280932
GOOGL,2023-03-08 05:00:00 UTC,94.12,95.955,94,94.25,38008908,94.714431
GOOGL,2023-03-09 05:00:00 UTC,94.05,95.53,91.9,92.32,31957969,93.509131
GOOGL,2023-03-10 05:00:00 UTC,92.17,92.79,90.395,90.63,40219287,91.234768
GOOGL,2023-03-13 04:00:00 UTC,90.09,92.57,89.42,91.11,40408922,91.468252
