symbol,date,open,high,low,close,volume,ema,atr,bb_middle,bb_upper,bb_lower,bb_width,volatility,obv,macd_12_26,macd_signal_12_26_9
GOOGL,2023-02-09 05:00:00 UTC,100.0,100.03,93.63,97.999,123637886.0,98.37044135571722,4.056244580524964,97.999,108.13584452095915,87.86215547904084,0.2068764889633396,4.269281739316876,-695216859.0,2.4718109708041,0.0
GOOGL,2023-02-10 05:00:00 UTC,95.45,96.75,94.25,98.171,58977388.0,98.00849455993462,3.9450842533446093,98.171,107.92667181856655,88.41532818143347,0.19874854730147476,4.171602255836533,-754194247.0,1.8603245436166844,0.0
GOOGL,2023-02-13 05:00:00 UTC,94.74,95.2,93.84,98.2955,54895997.0,97.68482841136941,3.7604353781057087,98.2955,107.78597716619664,88.80502283380336,0.19310094899963154,3.9746700962960664,-699298250.0,1.3632303394827403,0.0
GOOGL,2023-02-14 05:00:00 UTC,94.43,94.845,92.26,98.465,58063956.0,97.39865427695328,3.6764757082410147,98.465,107.54068991142908,89.38931008857092,0.1843434705007684,3.8830541912135765,-641234294.0,0.9638177255375524,0.0
GOOGL,2023-02-15 05:00:00 UTC,94.49,97.12,94.15,98.756,53831053.0,97.35497291724344,3.6260131576523706,98.756,107.19066131975326,90.32133868024674,0.170818204863568,3.74047158825291,-587403241.0,0.8201888373977226,0.0
GOOGL,2023-02-16 05:00:00 UTC,95.37,97.68,94.74,98.87899999999999,46279209.0,97.1792612108393,3.577012217820059,98.87899999999999,107.03029540883531,90.72770459116467,0.16487414736870973,3.7451703673123853,-633682450.0,0.5842381263206846,0.0
GOOGL,2023-02-17 05:00:00 UTC,94.85,95.5599,93.21,98.69550000000001,38612654.0,96.90980776218794,3.4893613451186267,98.69550000000001,107.08983010398873,90.30116989601129,0.17010563002343007,3.6983162110425303,-672295104.0,0.3001828612167827,0.0
GOOGL,2023-02-21 05:00:00 UTC,93.0,93.1,91.72,98.2955,37656607.0,96.42220702293194,3.4279783918958673,98.2955,107.21615250150604,89.37484749849396,0.1815068340159222,3.734588072661365,-709951711.0,-0.13000497168475533,0.0
GOOGL,2023-02-22 05:00:00 UTC,91.7,92.11,90.61,97.99300000000001,35422239.0,95.96771111598605,3.290265649617591,97.99300000000001,107.39595160826445,88.59004839173556,0.19191067950291232,3.590033442026831,-745373950.0,-0.4767332741382688,0.0
GOOGL,2023-02-23 05:00:00 UTC,91.92,91.94,89.76,97.7765,44335479.0,95.48411958113023,3.2109609603591913,97.7765,107.63656570918613,87.91643429081387,0.20168579790002977,3.5327989441733867,-789709429.0,-0.8035804253581205,0.0
GOOGL,2023-02-24 05:00:00 UTC,89.44,89.89,88.575,97.357,40718307.0,94.87896533530831,3.146963748904963,97.357,107.94970672630315,86.76429327369685,0.21760544647643515,3.530757039049661,-830427736.0,-1.1908985019507838,0.0
